,,,MIN,MAX,AVG
sort2_ w: 1 o: 1600 n: 40 ,1097,,,,
sort2_ w: 1 o: 1800 n: 40 ,1050,,,,
sort2_ w: 1 o: 2000 n: 40 ,1072,,,,
,,,,,
sort2_ w: 2 o: 0 n: 40 ,1815,,1645,1845,1773.5
sort2_ w: 2 o: 200 n: 40 ,1702,,,,
sort2_ w: 2 o: 400 n: 40 ,1809,,,,
sort2_ w: 2 o: 800 n: 40 ,1845,,,,
sort2_ w: 2 o: 1000 n: 40 ,1645,,,,
sort2_ w: 2 o: 1200 n: 40 ,1739,,,,
sort2_ w: 2 o: 1400 n: 40 ,1815,,,,
sort2_ w: 2 o: 1600 n: 40 ,1836,,,,
sort2_ w: 2 o: 1800 n: 40 ,1787,,,,
sort2_ w: 2 o: 2000 n: 40 ,1742,,,,
,,,,,
sort2_ w: 5 o: 0 n: 40 ,4106,,3783,4196,4035.5
sort2_ w: 5 o: 200 n: 40 ,3863,,,,
sort2_ w: 5 o: 400 n: 40 ,4136,,,,
sort2_ w: 5 o: 800 n: 40 ,4150,,,,
sort2_ w: 5 o: 1000 n: 40 ,3783,,,,
sort2_ w: 5 o: 1200 n: 40 ,3950,,,,
sort2_ w: 5 o: 1400 n: 40 ,4126,,,,
sort2_ w: 5 o: 1600 n: 40 ,4196,,,,
sort2_ w: 5 o: 1800 n: 40 ,4047,,,,
sort2_ w: 5 o: 2000 n: 40 ,3998,,,,
,,,,,
,,,,,
sort2_ w: 1 o: 0 n: 50 ,1692,,1684,1773,1727.1
sort2_ w: 1 o: 200 n: 50 ,1758,,,,
sort2_ w: 1 o: 400 n: 50 ,1735,,,,
sort2_ w: 1 o: 800 n: 50 ,1708,,,,
sort2_ w: 1 o: 1000 n: 50 ,1689,,,,
sort2_ w: 1 o: 1200 n: 50 ,1684,,,,
sort2_ w: 1 o: 1400 n: 50 ,1738,,,,
sort2_ w: 1 o: 1600 n: 50 ,1756,,,,
sort2_ w: 1 o: 1800 n: 50 ,1773,,,,
sort2_ w: 1 o: 2000 n: 50 ,1738,,,,
,,,,,
sort2_ w: 2 o: 0 n: 50 ,2843,,2756,2872,2828.2
sort2_ w: 2 o: 200 n: 50 ,2858,,,,
sort2_ w: 2 o: 400 n: 50 ,2872,,,,
sort2_ w: 2 o: 800 n: 50 ,2805,,,,
sort2_ w: 2 o: 1000 n: 50 ,2756,,,,
sort2_ w: 2 o: 1200 n: 50 ,2766,,,,
sort2_ w: 2 o: 1400 n: 50 ,2799,,,,
sort2_ w: 2 o: 1600 n: 50 ,2868,,,,
sort2_ w: 2 o: 1800 n: 50 ,2853,,,,
sort2_ w: 2 o: 2000 n: 50 ,2862,,,,
,,,,,
sort2_ w: 5 o: 0 n: 50 ,6434,,6261,6544,6425.1
sort2_ w: 5 o: 200 n: 50 ,6526,,,,
sort2_ w: 5 o: 400 n: 50 ,6544,,,,
sort2_ w: 5 o: 800 n: 50 ,6319,,,,
sort2_ w: 5 o: 1000 n: 50 ,6296,,,,
sort2_ w: 5 o: 1200 n: 50 ,6261,,,,
sort2_ w: 5 o: 1400 n: 50 ,6419,,,,
sort2_ w: 5 o: 1600 n: 50 ,6464,,,,
sort2_ w: 5 o: 1800 n: 50 ,6469,,,,
sort2_ w: 5 o: 2000 n: 50 ,6519,,,,
,,,,,
,,,,,
sort3_ w: 1 o: 0 n: 10 ,32,,23,54,35.2
sort3_ w: 1 o: 200 n: 10 ,27,,,,
sort3_ w: 1 o: 400 n: 10 ,33,,,,
sort3_ w: 1 o: 800 n: 10 ,43,,,,
sort3_ w: 1 o: 1000 n: 10 ,43,,,,
sort3_ w: 1 o: 1200 n: 10 ,23,,,,
sort3_ w: 1 o: 1400 n: 10 ,24,,,,
sort3_ w: 1 o: 1600 n: 10 ,29,,,,
sort3_ w: 1 o: 1800 n: 10 ,44,,,,
sort3_ w: 1 o: 2000 n: 10 ,54,,,,
,,,,,
sort3_ w: 2 o: 0 n: 10 ,57,,44,80,60.5
sort3_ w: 2 o: 200 n: 10 ,45,,,,
sort3_ w: 2 o: 400 n: 10 ,54,,,,
sort3_ w: 2 o: 800 n: 10 ,72,,,,
sort3_ w: 2 o: 1000 n: 10 ,77,,,,
sort3_ w: 2 o: 1200 n: 10 ,54,,,,
sort3_ w: 2 o: 1400 n: 10 ,44,,,,
sort3_ w: 2 o: 1600 n: 10 ,51,,,,
sort3_ w: 2 o: 1800 n: 10 ,71,,,,
sort3_ w: 2 o: 2000 n: 10 ,80,,,,
,,,,,
sort3_ w: 5 o: 0 n: 10 ,132,,103,187,137.3
sort3_ w: 5 o: 200 n: 10 ,103,,,,
sort3_ w: 5 o: 400 n: 10 ,123,,,,
sort3_ w: 5 o: 800 n: 10 ,153,,,,
sort3_ w: 5 o: 1000 n: 10 ,174,,,,
sort3_ w: 5 o: 1200 n: 10 ,125,,,,
sort3_ w: 5 o: 1400 n: 10 ,105,,,,
sort3_ w: 5 o: 1600 n: 10 ,112,,,,
sort3_ w: 5 o: 1800 n: 10 ,159,,,,
sort3_ w: 5 o: 2000 n: 10 ,187,,,,
,,,,,
,,,,,
sort3_ w: 1 o: 0 n: 20 ,95,,95,129,105.7
sort3_ w: 1 o: 200 n: 20 ,111,,,,
sort3_ w: 1 o: 400 n: 20 ,129,,,,
sort3_ w: 1 o: 800 n: 20 ,95,,,,
sort3_ w: 1 o: 1000 n: 20 ,105,,,,
sort3_ w: 1 o: 1200 n: 20 ,103,,,,
sort3_ w: 1 o: 1400 n: 20 ,108,,,,
sort3_ w: 1 o: 1600 n: 20 ,105,,,,
